,upc,sale_period,promo_revenue,promo_profit,promo_start,promo_end,promo_length,preceding_non_promo_revenue,preceding_non_promo_profit,lift,profit_difference,Long_Desc
106,1356230060,2,983.0,632.0168,2024-05-30,2024-08-27,90,53.82000000000001,17.0008,18.264585655890002,615.016,Bunny Pasta Macaroni & Cheese
107,1356230060,3,535.0,344.976,2024-10-02,2024-11-05,35,71.76000000000002,25.283200000000008,7.455406911928649,319.6928,Bunny Pasta Macaroni & Cheese
108,1356230060,4,371.0,179.64,2025-01-03,2025-01-27,25,92.69,28.210000000000004,4.0025892760815625,151.42999999999998,Bunny Pasta Macaroni & Cheese
109,1356230060,5,790.0,597.64,2025-02-26,2025-04-21,55,107.64,41.5872,7.339279078409513,556.0527999999999,Bunny Pasta Macaroni & Cheese
110,1356230084,1,1536.0,1176.7368000000001,2024-04-01,2024-04-30,30,,,,,Shells & Aged Cheddar Mac & Cheese
111,1356230084,2,3055.0,2041.9264,2024-05-29,2024-08-27,91,128.57,45.13560000000001,23.761375126390295,1996.7908,Shells & Aged Cheddar Mac & Cheese
112,1356230084,3,2519.0,1631.42,2024-10-02,2024-11-05,35,209.3,68.18480000000001,12.035355948399426,1563.2352,Shells & Aged Cheddar Mac & Cheese
113,1356230084,4,1462.0,794.3199999999999,2025-01-01,2025-01-28,28,197.34,60.06,7.408533495490017,734.26,Shells & Aged Cheddar Mac & Cheese
114,1356230084,5,1760.0,1345.6016,2025-02-26,2025-04-21,55,293.02000000000004,99.96880000000002,6.006415944304142,1245.6327999999999,Shells & Aged Cheddar Mac & Cheese
115,1630016820,1,394.36,145.35,2024-04-01,2024-04-28,28,,,,,Original No Pulp Orange Juice
116,1630016820,2,645.53,231.105,2024-05-15,2024-06-30,47,126.63000000000001,31.400000000000002,5.097765142541261,199.70499999999998,Original No Pulp Orange Juice
117,1630016820,3,1507.51,602.3249999999999,2024-08-02,2024-10-27,87,342.37,72.35000000000001,4.403160323626486,529.9749999999999,Original No Pulp Orange Juice
118,1630016820,4,1267.98,523.7374,2024-11-20,2024-12-29,40,257.95,60.08710000000003,4.915603799185889,463.65029999999996,Original No Pulp Orange Juice
119,1630016820,5,548.26,183.64329999999998,2025-01-01,2025-01-26,26,49.9,12.912999999999998,10.987174348697394,170.73029999999997,Original No Pulp Orange Juice
120,1630016820,6,358.33000000000004,28.713100000000015,2025-01-29,2025-02-23,26,29.940000000000005,7.207800000000002,11.968269873079493,21.505300000000013,Original No Pulp Orange Juice
121,1630016820,7,250.23,28.849099999999982,2025-03-13,2025-03-30,18,164.67000000000002,18.71790000000002,1.5195846237930404,10.13119999999996,Original No Pulp Orange Juice
122,1630016820,8,377.07000000000005,4.770900000000017,2025-04-02,2025-04-21,20,14.97,3.603900000000001,25.188376753507015,1.1670000000000158,Original No Pulp Orange Juice
123,1630016821,1,328.6,116.605,2024-04-01,2024-04-28,28,,,,,Home Squeezed-Some Pulp Orange Juice
124,1630016821,2,538.69,168.635,2024-05-16,2024-07-09,55,56.28000000000001,12.150000000000002,9.571606254442075,156.48499999999999,Home Squeezed-Some Pulp Orange Juice
125,1630016821,3,1781.44,734.925,2024-08-01,2024-10-27,88,206.35999999999999,37.050000000000004,8.632680752083738,697.875,Home Squeezed-Some Pulp Orange Juice
126,1630016821,4,887.32,367.7994,2024-11-20,2024-12-29,40,253.26,59.70930000000003,3.5035931453841904,308.09009999999995,Home Squeezed-Some Pulp Orange Juice
127,1630016821,5,439.7,148.7012,2025-01-01,2025-01-26,26,39.92,10.330400000000001,11.014529058116231,138.3708,Home Squeezed-Some Pulp Orange Juice
128,1630016821,6,424.97,34.7339,2025-01-29,2025-02-23,26,19.96,4.805200000000001,21.291082164328657,29.9287,Home Squeezed-Some Pulp Orange Juice
129,1630016821,7,219.49999999999997,25.414999999999985,2025-03-13,2025-03-30,18,254.48999999999998,34.91630000000003,0.8625093323902707,-9.501300000000043,Home Squeezed-Some Pulp Orange Juice
130,1630016821,8,342.35,3.210500000000014,2025-04-02,2025-04-20,19,49.900000000000006,12.013000000000003,6.8607214428857715,-8.80249999999999,Home Squeezed-Some Pulp Orange Juice
131,1630016822,1,399.98,150.97,2024-04-01,2024-04-28,28,,,,,Calcium & D No Pulp Orange Juice
132,1630016822,2,619.8000000000001,195.51999999999998,2024-05-15,2024-06-30,47,112.56,23.050000000000004,5.506396588486141,172.46999999999997,Calcium & D No Pulp Orange Juice
133,1630016822,3,1739.92,696.77,2024-08-01,2024-10-27,88,347.06000000000006,64.92500000000001,5.0133118192819675,631.845,Calcium & D No Pulp Orange Juice
134,1630016822,4,1139.12,455.5966,2024-11-20,2024-12-29,40,304.84999999999997,72.86390000000002,3.736657372478268,382.7327,Calcium & D No Pulp Orange Juice
135,1630016822,5,497.47999999999996,158.4879,2025-01-03,2025-01-26,24,39.92,10.330400000000001,12.46192384769539,148.1575,Calcium & D No Pulp Orange Juice
136,1630016822,6,493.61,42.7547,2025-01-29,2025-02-23,26,9.98,2.4026000000000005,49.45991983967936,40.3521,Calcium & D No Pulp Orange Juice
137,1630016822,7,602.97,39.91089999999999,2025-03-13,2025-04-20,39,174.65000000000003,22.67050000000002,3.452447752648153,17.240399999999973,Calcium & D No Pulp Orange Juice
138,1630016823,1,439.12,163.19,2024-04-01,2024-04-28,28,,,,,Orange Juice With Calcium & Vit D
139,1630016823,2,615.88,205.685,2024-05-15,2024-06-29,46,159.45999999999998,36.925,3.8622852125925,168.76,Orange Juice With Calcium & Vit D
140,1630016823,3,1276.3700000000001,519.245,2024-08-02,2024-10-27,87,337.68000000000006,70.4,3.779821132433072,448.845,Orange Juice With Calcium & Vit D
141,1630016823,4,658.98,243.10430000000002,2024-11-20,2024-12-29,40,229.80999999999997,53.08430000000002,2.867499238501371,190.02,Orange Juice With Calcium & Vit D
142,1630016823,5,361.75,119.2293,2025-01-01,2025-01-26,26,34.93,9.039100000000001,10.356427139994274,110.19019999999999,Orange Juice With Calcium & Vit D
143,1630016823,6,286.11,24.689700000000002,2025-01-29,2025-02-23,26,24.950000000000003,6.006500000000002,11.467334669338676,18.6832,Orange Juice With Calcium & Vit D
144,1630016823,7,223.89,28.341299999999983,2025-03-13,2025-03-29,17,219.56,35.03220000000002,1.0197212607032247,-6.690900000000035,Orange Juice With Calcium & Vit D
145,1630016823,8,293.28000000000003,3.393600000000011,2025-04-02,2025-04-20,19,44.910000000000004,10.811700000000004,6.530394121576486,-7.418099999999993,Orange Juice With Calcium & Vit D
146,1630016824,1,405.55,149.81,2024-04-01,2024-04-27,27,,,,,Growers Style-Most Pulp Orange Juice
147,1630016824,2,698.7,252.11499999999998,2024-05-15,2024-06-30,47,126.63,27.650000000000006,5.517649846008055,224.46499999999997,Growers Style-Most Pulp Orange Juice
148,1630016824,3,1584.46,635.53,2024-08-01,2024-10-27,88,408.03000000000003,82.775,3.8831948631228093,552.755,Growers Style-Most Pulp Orange Juice
149,1630016824,4,817.22,321.9916,2024-11-20,2024-12-29,40,272.02,59.32450000000002,3.004264392324094,262.6671,Growers Style-Most Pulp Orange Juice
150,1630016824,5,530.7,181.0581,2025-01-02,2025-01-26,25,29.94,7.747800000000002,17.725450901803608,173.31029999999998,Growers Style-Most Pulp Orange Juice
